"name","segment","category","hq","markets","what","features","needs","mechanism","differentiation","users","revenue","funding","retention","business_model","verdict","status","ditto_flag","source_tier","source_url","notes","regions"
"Patient.info","Consumer health","Health content (UK)","United Kingdom","UK","Clinician-reviewed UK-focused info.","Clinician-reviewed UK info","1;2","Trusted UK patient info","","","","","","Ads","Growing","Active","Adopt (grounding)","T2","","","EU"
"NHS.uk","Consumer health","Health content (UK)","United Kingdom","UK","Authoritative public health info.","Public health info","1;2","Government-trust default","","","","","","Public","Proven","Active","Adopt (grounding)","T2","","","EU"
"Thuisarts.nl","Consumer health","Health content (NL)","Netherlands","NL","GP-authored Dutch patient info.","GP-authored plain-language info","1;2","NL default plain-language source","GP-backed","","","","","Public","Proven","Active","Adopt (grounding)","T2","","","EU"
"Apotheek.nl","Consumer health","Medication content (NL)","Netherlands","NL","Pharmacist-authored medicine info.","Pharmacist-authored med info","1;5","Trusted Dutch medicine info","","","","","","Public","Growing","Active","Adopt (grounding)","T3","","","EU"
"Abridge","Clinical / provider","AI scribe + patient summary","United States","US","Ambient capture to clinician note + patient summary.","Ambient capture; clinician note; patient summary","1","Captures consult, ships patient summary","Partner upstream, own the consumer loop","","~$5.3B valuation; ~$100M ARR; 150+ systems","","","B2B (health systems)","Growing","Active","Innovate (partner)","T2","https://techcrunch.com/2025/06/24/in-just-4-months-ai-medical-scribe-abridge-doubles-valuation-to-5-3b/","","US"
"Nabla","Clinical / provider","AI scribe (FR/EU)","France","EU / Global","Ambient note + patient instructions.","Ambient note; patient instructions","1","EU-built scribe","EU-built; patient-summary layer","","","$120M+ raised; 85k clinicians","","B2B","Growing","Active","Innovate (partner)","T2","https://sacra.com/c/abridge/","","EU;Global"
"Heidi Health","Clinical / provider","AI scribe","Australia","Global","Ambient note + patient summary.","Ambient note; patient summary","1","Fast-growing global scribe","","","","~$86.6M raised","","B2B","Growing","Active","Innovate (partner)","T2","https://sacra.com/c/heidi-health/","","Global"
"Suki","Clinical / provider","AI scribe (voice)","United States","US","Voice-first ambient documentation.","Voice documentation","1","Voice clinical documentation","","","","~$168M raised","","B2B","Growing","Active","Watch","T2","","","US"
"Corti","Clinical / provider","Health AI (EU/DK)","Denmark","EU","Ambient + clinical decision support.","Ambient; decision support","1","EU clinical-AI infrastructure","EU-sovereign positioning","","","","","B2B","Growing","Active","Innovate (partner)","corpus","","","EU"
"Tortus","Clinical / provider","AI scribe (UK)","United Kingdom","EU/UK","Ambient documentation + actions.","Ambient documentation; actions","1","EU/UK clinical scribe","","","","","","B2B","Niche","Active","Watch","T3","","","EU"
"Dragon Copilot (Microsoft/Nuance)","Clinical / provider","AI scribe (incumbent)","United States","Global","Ambient note + summaries inside the EHR.","Ambient note; EHR-embedded","1","Enterprise EHR-embedded scribe","Microsoft-owned; ubiquitous","","","","","B2B","Proven","Active","Watch","T2","","","Global;US"
"Ambience Healthcare","Clinical / provider","AI scribe","United States","US","Ambient documentation + coding.","Ambient documentation; coding","1","Coding-focused scribe","","","","$243M Series C","","B2B","Growing","Active","Watch","T2","","","US"
"Duolingo","Adjacent inspiration","Language learning","United States","Global","Daily streak + loss-aversion + leagues + nudges.","Streak; streak-freeze; leagues; nudges","","Best-in-class daily-habit machine","Streak as relationship; reward = warmth not points","~100M+ MAU (public co)","","","","Freemium","Proven","Active","Innovate (streak)","T2","","Borrow the streak/loss-aversion frame","Global;US"
"Spotify (Wrapped)","Adjacent inspiration","Music + data narrative","Sweden","Global","Personalized year-in-review of your data.","Personal data narrative; shareable","","Shareable personal-data story","'Health year in review' analog","600M+ MAU","","","","Freemium","Proven","Active","Adopt (wrapped)","T2","","","EU;Global"
"BeReal","Adjacent inspiration","Social (daily prompt)","France","Global","One time-boxed daily prompt.","Single daily prompt","","Single authentic daily moment","The once-a-day prompt","Tens of millions MAU","","","","Ads","Mixed","Active","Adopt (daily prompt)","T2","","","EU;Global"
"Snapchat","Adjacent inspiration","Social (streaks)","United States","Global","Mutual streaks + ephemeral content.","Mutual streaks","","Streaks as relationship glue","","400M+ DAU","","","","Ads","Proven","Active","Adopt (streak)","T2","","","Global;US"
"Notion","Adjacent inspiration","Productivity (doc)","United States","Global","User-owned composable docs/databases.","Composable docs/db","","Second-brain flexibility","'My health' as a living doc","Tens of millions","","","","Freemium","Proven","Active","Adopt (doc metaphor)","T2","","","Global;US"
"Cleo","Adjacent inspiration","Fintech AI coach","United Kingdom / US","US / UK","Witty chat persona over your money data.","Persona coach; nudges; plain-language","","Personality-led plain-language coach","Closest tonal analog to a Living Health Companion","","","~$150M+ ARR (unconfirmed)","","Subscription","Growing","Active","Innovate (persona)","T2","","Tone model for the companion","EU;US"
"Monzo","Adjacent inspiration","Fintech (neobank)","United Kingdom","UK","Plain-language feed + nudges + pots.","Plain-language feed; nudges","","Plain-language complex-data feed","Plain-language health-feed analog","10M+ customers","","","","Banking","Proven","Active","Innovate (feed)","T2","","","EU"
"Robinhood","Adjacent inspiration","Fintech (investing)","United States","US","Simplified UI + nudges over a complex domain.","Simplified UI; nudges","","Mass-simplified complex domain","","20M+ users","","","","Brokerage","Proven","Active","Adopt (simplify)","T2","","","US"
"Hinge","Adjacent inspiration","Dating","United States","Global","One-decision swipe + prompts.","Single-card decisions; prompts","","Low-friction single-card loop","Single-card UX","Tens of millions (Match)","","","","Subscription","Proven","Active","Adopt (single card)","T2","","","Global;US"
"Tinder","Adjacent inspiration","Dating","United States","Global","Swipe mechanic; variable reward.","Swipe; variable reward","","Dopamine-light decision loop","","Tens of millions","","","","Subscription","Proven","Active","Adopt (swipe)","T2","","","Global;US"
